연번,시도청,경찰서,관서명,구분,전화번호,주소,위도,경도
229,서울청,서울은평,대조,파출소,02-350-1938,서울특별시 은평구 진흥로13길3-33 (대조동),37.6086729484427,126.924270934554
230,서울청,서울도봉,창동,지구대,02-2289-9813,서울특별시 도봉구 노해로 392,37.6522871533292,127.051715013765
231,서울청,서울도봉,신창,파출소,02-2289-9823,서울특별시 도봉구  도봉로104길 49-5,37.6435195429165,127.034616372573
232,서울청,서울도봉,방학,파출소,02-2289-9833,서울특별시 도봉구  도봉로145길 45 방학파출소,37.6645033394704,127.040015484734
233,서울청,서울도봉,신방학,파출소,02-2289-9843,서울특별시 도봉구  시루봉로5길 10,37.6585099720895,127.02718505544
234,서울청,서울도봉,도봉1,파출소,02-2289-9853,서울특별시 도봉구 도봉로169나길 4 (도봉동),37.6794736285741,127.043412012604
235,서울청,서울도봉,도봉2,파출소,02-2289-9863,서울특별시 도봉구 도봉로 180나길 33,37.6839933331141,127.049278285409
236,서울청,서울도봉,쌍문,파출소,02-2289-9873,서울특별시 도봉구  방학로3길 132,37.6575955499116,127.038002354359
237,서울청,서울도봉,숭미,파출소,02-2289-9883,서울특별시 도봉구  노해로 139 숭미파출소,37.6475127555581,127.025582768186
238,서울청,서울수서,도곡,지구대,02-568-2522,서울특별시 강남구  언주로 426,37.5013327562925,127.043717717768
239,서울청,서울수서,대치,지구대,02-538-1312,서울특별시 강남구  삼성로 203,37.494873946034,127.062617624125
240,서울청,서울수서,수서,파출소,02-445-0112,서울특별시 강남구  밤고개로1길 48,37.489127606674,127.104813214036
241,서울청,서울수서,대왕,파출소,02-3411-0323,서울특별시 강남구  헌릉로 623,37.4651760424395,127.10736243987
242,서울청,서울수서,일원,지구대,02-3411-0112,서울특별시 강남구  일원로3길 35,37.4924161491256,127.083373556556
243,서울청,서울수서,개포,지구대,02-571-0112,서울특별시 강남구  개포로 261,37.4797783863169,127.051167625269
